# AI-CFD-V2 Phase 0 mocked solver log
# WARNING: No real CFD solver was executed.
# Residuals below are synthetic placeholders.

Time = 1  residual(Ux)=9.876e-01  residual(Uy)=9.876e-01  residual(p)=9.876e-01  residual(k)=9.876e-01  residual(omega)=9.876e-01
Time = 182  residual(Ux)=1.028e-01  residual(Uy)=1.028e-01  residual(p)=1.028e-01  residual(k)=1.028e-01  residual(omega)=1.028e-01
Time = 183  residual(Ux)=1.015e-01  residual(Uy)=1.015e-01  residual(p)=1.015e-01  residual(k)=1.015e-01  residual(omega)=1.015e-01
Time = 184  residual(Ux)=1.003e-01  residual(Uy)=1.003e-01  residual(p)=1.003e-01  residual(k)=1.003e-01  residual(omega)=1.003e-01
Time = 185  residual(Ux)=9.901e-02  residual(Uy)=9.901e-02  residual(p)=9.901e-02  residual(k)=9.901e-02  residual(omega)=9.901e-02
Time = 186  residual(Ux)=9.778e-02  residual(Uy)=9.778e-02  residual(p)=9.778e-02  residual(k)=9.778e-02  residual(omega)=9.778e-02
Time = 187  residual(Ux)=9.657e-02  residual(Uy)=9.657e-02  residual(p)=9.657e-02  residual(k)=9.657e-02  residual(omega)=9.657e-02
Time = 188  residual(Ux)=9.537e-02  residual(Uy)=9.537e-02  residual(p)=9.537e-02  residual(k)=9.537e-02  residual(omega)=9.537e-02
Time = 189  residual(Ux)=9.418e-02  residual(Uy)=9.418e-02  residual(p)=9.418e-02  residual(k)=9.418e-02  residual(omega)=9.418e-02
Time = 190  residual(Ux)=9.301e-02  residual(Uy)=9.301e-02  residual(p)=9.301e-02  residual(k)=9.301e-02  residual(omega)=9.301e-02
Time = 191  residual(Ux)=9.186e-02  residual(Uy)=9.186e-02  residual(p)=9.186e-02  residual(k)=9.186e-02  residual(omega)=9.186e-02
Time = 192  residual(Ux)=9.072e-02  residual(Uy)=9.072e-02  residual(p)=9.072e-02  residual(k)=9.072e-02  residual(omega)=9.072e-02
Time = 193  residual(Ux)=8.959e-02  residual(Uy)=8.959e-02  residual(p)=8.959e-02  residual(k)=8.959e-02  residual(omega)=8.959e-02
Time = 194  residual(Ux)=8.848e-02  residual(Uy)=8.848e-02  residual(p)=8.848e-02  residual(k)=8.848e-02  residual(omega)=8.848e-02
Time = 195  residual(Ux)=8.738e-02  residual(Uy)=8.738e-02  residual(p)=8.738e-02  residual(k)=8.738e-02  residual(omega)=8.738e-02
Time = 196  residual(Ux)=8.629e-02  residual(Uy)=8.629e-02  residual(p)=8.629e-02  residual(k)=8.629e-02  residual(omega)=8.629e-02
Time = 197  residual(Ux)=8.522e-02  residual(Uy)=8.522e-02  residual(p)=8.522e-02  residual(k)=8.522e-02  residual(omega)=8.522e-02
Time = 198  residual(Ux)=8.416e-02  residual(Uy)=8.416e-02  residual(p)=8.416e-02  residual(k)=8.416e-02  residual(omega)=8.416e-02
Time = 199  residual(Ux)=8.312e-02  residual(Uy)=8.312e-02  residual(p)=8.312e-02  residual(k)=8.312e-02  residual(omega)=8.312e-02
Time = 200  residual(Ux)=8.208e-02  residual(Uy)=8.208e-02  residual(p)=8.208e-02  residual(k)=8.208e-02  residual(omega)=8.208e-02
Time = 201  residual(Ux)=8.107e-02  residual(Uy)=8.107e-02  residual(p)=8.107e-02  residual(k)=8.107e-02  residual(omega)=8.107e-02
Time = 202  residual(Ux)=8.006e-02  residual(Uy)=8.006e-02  residual(p)=8.006e-02  residual(k)=8.006e-02  residual(omega)=8.006e-02
Time = 203  residual(Ux)=7.906e-02  residual(Uy)=7.906e-02  residual(p)=7.906e-02  residual(k)=7.906e-02  residual(omega)=7.906e-02
Time = 204  residual(Ux)=7.808e-02  residual(Uy)=7.808e-02  residual(p)=7.808e-02  residual(k)=7.808e-02  residual(omega)=7.808e-02
Time = 205  residual(Ux)=7.711e-02  residual(Uy)=7.711e-02  residual(p)=7.711e-02  residual(k)=7.711e-02  residual(omega)=7.711e-02
Time = 206  residual(Ux)=7.615e-02  residual(Uy)=7.615e-02  residual(p)=7.615e-02  residual(k)=7.615e-02  residual(omega)=7.615e-02
Time = 207  residual(Ux)=7.521e-02  residual(Uy)=7.521e-02  residual(p)=7.521e-02  residual(k)=7.521e-02  residual(omega)=7.521e-02
Time = 208  residual(Ux)=7.427e-02  residual(Uy)=7.427e-02  residual(p)=7.427e-02  residual(k)=7.427e-02  residual(omega)=7.427e-02
Time = 209  residual(Ux)=7.335e-02  residual(Uy)=7.335e-02  residual(p)=7.335e-02  residual(k)=7.335e-02  residual(omega)=7.335e-02
Time = 210  residual(Ux)=7.244e-02  residual(Uy)=7.244e-02  residual(p)=7.244e-02  residual(k)=7.244e-02  residual(omega)=7.244e-02
Time = 211  residual(Ux)=7.154e-02  residual(Uy)=7.154e-02  residual(p)=7.154e-02  residual(k)=7.154e-02  residual(omega)=7.154e-02
Time = 212  residual(Ux)=7.065e-02  residual(Uy)=7.065e-02  residual(p)=7.065e-02  residual(k)=7.065e-02  residual(omega)=7.065e-02
Time = 213  residual(Ux)=6.977e-02  residual(Uy)=6.977e-02  residual(p)=6.977e-02  residual(k)=6.977e-02  residual(omega)=6.977e-02
Time = 214  residual(Ux)=6.891e-02  residual(Uy)=6.891e-02  residual(p)=6.891e-02  residual(k)=6.891e-02  residual(omega)=6.891e-02
Time = 215  residual(Ux)=6.805e-02  residual(Uy)=6.805e-02  residual(p)=6.805e-02  residual(k)=6.805e-02  residual(omega)=6.805e-02
Time = 216  residual(Ux)=6.721e-02  residual(Uy)=6.721e-02  residual(p)=6.721e-02  residual(k)=6.721e-02  residual(omega)=6.721e-02
Time = 217  residual(Ux)=6.637e-02  residual(Uy)=6.637e-02  residual(p)=6.637e-02  residual(k)=6.637e-02  residual(omega)=6.637e-02
Time = 218  residual(Ux)=6.555e-02  residual(Uy)=6.555e-02  residual(p)=6.555e-02  residual(k)=6.555e-02  residual(omega)=6.555e-02
Time = 219  residual(Ux)=6.473e-02  residual(Uy)=6.473e-02  residual(p)=6.473e-02  residual(k)=6.473e-02  residual(omega)=6.473e-02
Time = 220  residual(Ux)=6.393e-02  residual(Uy)=6.393e-02  residual(p)=6.393e-02  residual(k)=6.393e-02  residual(omega)=6.393e-02
Time = 221  residual(Ux)=6.313e-02  residual(Uy)=6.313e-02  residual(p)=6.313e-02  residual(k)=6.313e-02  residual(omega)=6.313e-02
Time = 222  residual(Ux)=6.235e-02  residual(Uy)=6.235e-02  residual(p)=6.235e-02  residual(k)=6.235e-02  residual(omega)=6.235e-02
Time = 223  residual(Ux)=6.157e-02  residual(Uy)=6.157e-02  residual(p)=6.157e-02  residual(k)=6.157e-02  residual(omega)=6.157e-02
Time = 224  residual(Ux)=6.081e-02  residual(Uy)=6.081e-02  residual(p)=6.081e-02  residual(k)=6.081e-02  residual(omega)=6.081e-02
Time = 225  residual(Ux)=6.005e-02  residual(Uy)=6.005e-02  residual(p)=6.005e-02  residual(k)=6.005e-02  residual(omega)=6.005e-02
Time = 226  residual(Ux)=5.931e-02  residual(Uy)=5.931e-02  residual(p)=5.931e-02  residual(k)=5.931e-02  residual(omega)=5.931e-02
Time = 227  residual(Ux)=5.857e-02  residual(Uy)=5.857e-02  residual(p)=5.857e-02  residual(k)=5.857e-02  residual(omega)=5.857e-02
Time = 228  residual(Ux)=5.784e-02  residual(Uy)=5.784e-02  residual(p)=5.784e-02  residual(k)=5.784e-02  residual(omega)=5.784e-02
Time = 229  residual(Ux)=5.713e-02  residual(Uy)=5.713e-02  residual(p)=5.713e-02  residual(k)=5.713e-02  residual(omega)=5.713e-02
Time = 230  residual(Ux)=5.642e-02  residual(Uy)=5.642e-02  residual(p)=5.642e-02  residual(k)=5.642e-02  residual(omega)=5.642e-02
Time = 231  residual(Ux)=5.572e-02  residual(Uy)=5.572e-02  residual(p)=5.572e-02  residual(k)=5.572e-02  residual(omega)=5.572e-02
Time = 232  residual(Ux)=5.502e-02  residual(Uy)=5.502e-02  residual(p)=5.502e-02  residual(k)=5.502e-02  residual(omega)=5.502e-02
Time = 233  residual(Ux)=5.434e-02  residual(Uy)=5.434e-02  residual(p)=5.434e-02  residual(k)=5.434e-02  residual(omega)=5.434e-02
Time = 234  residual(Ux)=5.366e-02  residual(Uy)=5.366e-02  residual(p)=5.366e-02  residual(k)=5.366e-02  residual(omega)=5.366e-02
Time = 235  residual(Ux)=5.300e-02  residual(Uy)=5.300e-02  residual(p)=5.300e-02  residual(k)=5.300e-02  residual(omega)=5.300e-02
Time = 236  residual(Ux)=5.234e-02  residual(Uy)=5.234e-02  residual(p)=5.234e-02  residual(k)=5.234e-02  residual(omega)=5.234e-02
Time = 237  residual(Ux)=5.169e-02  residual(Uy)=5.169e-02  residual(p)=5.169e-02  residual(k)=5.169e-02  residual(omega)=5.169e-02
Time = 238  residual(Ux)=5.105e-02  residual(Uy)=5.105e-02  residual(p)=5.105e-02  residual(k)=5.105e-02  residual(omega)=5.105e-02
Time = 239  residual(Ux)=5.041e-02  residual(Uy)=5.041e-02  residual(p)=5.041e-02  residual(k)=5.041e-02  residual(omega)=5.041e-02
Time = 240  residual(Ux)=4.979e-02  residual(Uy)=4.979e-02  residual(p)=4.979e-02  residual(k)=4.979e-02  residual(omega)=4.979e-02
Time = 241  residual(Ux)=4.917e-02  residual(Uy)=4.917e-02  residual(p)=4.917e-02  residual(k)=4.917e-02  residual(omega)=4.917e-02
Time = 242  residual(Ux)=4.856e-02  residual(Uy)=4.856e-02  residual(p)=4.856e-02  residual(k)=4.856e-02  residual(omega)=4.856e-02
Time = 243  residual(Ux)=4.795e-02  residual(Uy)=4.795e-02  residual(p)=4.795e-02  residual(k)=4.795e-02  residual(omega)=4.795e-02
Time = 244  residual(Ux)=4.736e-02  residual(Uy)=4.736e-02  residual(p)=4.736e-02  residual(k)=4.736e-02  residual(omega)=4.736e-02
Time = 245  residual(Ux)=4.677e-02  residual(Uy)=4.677e-02  residual(p)=4.677e-02  residual(k)=4.677e-02  residual(omega)=4.677e-02
Time = 246  residual(Ux)=4.619e-02  residual(Uy)=4.619e-02  residual(p)=4.619e-02  residual(k)=4.619e-02  residual(omega)=4.619e-02
Time = 247  residual(Ux)=4.562e-02  residual(Uy)=4.562e-02  residual(p)=4.562e-02  residual(k)=4.562e-02  residual(omega)=4.562e-02
Time = 248  residual(Ux)=4.505e-02  residual(Uy)=4.505e-02  residual(p)=4.505e-02  residual(k)=4.505e-02  residual(omega)=4.505e-02
Time = 249  residual(Ux)=4.449e-02  residual(Uy)=4.449e-02  residual(p)=4.449e-02  residual(k)=4.449e-02  residual(omega)=4.449e-02
Time = 250  residual(Ux)=4.394e-02  residual(Uy)=4.394e-02  residual(p)=4.394e-02  residual(k)=4.394e-02  residual(omega)=4.394e-02
Time = 251  residual(Ux)=4.339e-02  residual(Uy)=4.339e-02  residual(p)=4.339e-02  residual(k)=4.339e-02  residual(omega)=4.339e-02
Time = 252  residual(Ux)=4.285e-02  residual(Uy)=4.285e-02  residual(p)=4.285e-02  residual(k)=4.285e-02  residual(omega)=4.285e-02
Time = 253  residual(Ux)=4.232e-02  residual(Uy)=4.232e-02  residual(p)=4.232e-02  residual(k)=4.232e-02  residual(omega)=4.232e-02
Time = 254  residual(Ux)=4.179e-02  residual(Uy)=4.179e-02  residual(p)=4.179e-02  residual(k)=4.179e-02  residual(omega)=4.179e-02
Time = 255  residual(Ux)=4.127e-02  residual(Uy)=4.127e-02  residual(p)=4.127e-02  residual(k)=4.127e-02  residual(omega)=4.127e-02
Time = 256  residual(Ux)=4.076e-02  residual(Uy)=4.076e-02  residual(p)=4.076e-02  residual(k)=4.076e-02  residual(omega)=4.076e-02
Time = 257  residual(Ux)=4.026e-02  residual(Uy)=4.026e-02  residual(p)=4.026e-02  residual(k)=4.026e-02  residual(omega)=4.026e-02
Time = 258  residual(Ux)=3.976e-02  residual(Uy)=3.976e-02  residual(p)=3.976e-02  residual(k)=3.976e-02  residual(omega)=3.976e-02
Time = 259  residual(Ux)=3.926e-02  residual(Uy)=3.926e-02  residual(p)=3.926e-02  residual(k)=3.926e-02  residual(omega)=3.926e-02
Time = 260  residual(Ux)=3.877e-02  residual(Uy)=3.877e-02  residual(p)=3.877e-02  residual(k)=3.877e-02  residual(omega)=3.877e-02
Time = 261  residual(Ux)=3.829e-02  residual(Uy)=3.829e-02  residual(p)=3.829e-02  residual(k)=3.829e-02  residual(omega)=3.829e-02
Time = 262  residual(Ux)=3.782e-02  residual(Uy)=3.782e-02  residual(p)=3.782e-02  residual(k)=3.782e-02  residual(omega)=3.782e-02
Time = 263  residual(Ux)=3.735e-02  residual(Uy)=3.735e-02  residual(p)=3.735e-02  residual(k)=3.735e-02  residual(omega)=3.735e-02
Time = 264  residual(Ux)=3.688e-02  residual(Uy)=3.688e-02  residual(p)=3.688e-02  residual(k)=3.688e-02  residual(omega)=3.688e-02
Time = 265  residual(Ux)=3.642e-02  residual(Uy)=3.642e-02  residual(p)=3.642e-02  residual(k)=3.642e-02  residual(omega)=3.642e-02
Time = 266  residual(Ux)=3.597e-02  residual(Uy)=3.597e-02  residual(p)=3.597e-02  residual(k)=3.597e-02  residual(omega)=3.597e-02
Time = 267  residual(Ux)=3.553e-02  residual(Uy)=3.553e-02  residual(p)=3.553e-02  residual(k)=3.553e-02  residual(omega)=3.553e-02
Time = 268  residual(Ux)=3.508e-02  residual(Uy)=3.508e-02  residual(p)=3.508e-02  residual(k)=3.508e-02  residual(omega)=3.508e-02
Time = 269  residual(Ux)=3.465e-02  residual(Uy)=3.465e-02  residual(p)=3.465e-02  residual(k)=3.465e-02  residual(omega)=3.465e-02
Time = 270  residual(Ux)=3.422e-02  residual(Uy)=3.422e-02  residual(p)=3.422e-02  residual(k)=3.422e-02  residual(omega)=3.422e-02
Time = 271  residual(Ux)=3.379e-02  residual(Uy)=3.379e-02  residual(p)=3.379e-02  residual(k)=3.379e-02  residual(omega)=3.379e-02
Time = 272  residual(Ux)=3.337e-02  residual(Uy)=3.337e-02  residual(p)=3.337e-02  residual(k)=3.337e-02  residual(omega)=3.337e-02
Time = 273  residual(Ux)=3.296e-02  residual(Uy)=3.296e-02  residual(p)=3.296e-02  residual(k)=3.296e-02  residual(omega)=3.296e-02
Time = 274  residual(Ux)=3.255e-02  residual(Uy)=3.255e-02  residual(p)=3.255e-02  residual(k)=3.255e-02  residual(omega)=3.255e-02
Time = 275  residual(Ux)=3.214e-02  residual(Uy)=3.214e-02  residual(p)=3.214e-02  residual(k)=3.214e-02  residual(omega)=3.214e-02
Time = 276  residual(Ux)=3.175e-02  residual(Uy)=3.175e-02  residual(p)=3.175e-02  residual(k)=3.175e-02  residual(omega)=3.175e-02
Time = 277  residual(Ux)=3.135e-02  residual(Uy)=3.135e-02  residual(p)=3.135e-02  residual(k)=3.135e-02  residual(omega)=3.135e-02
Time = 278  residual(Ux)=3.096e-02  residual(Uy)=3.096e-02  residual(p)=3.096e-02  residual(k)=3.096e-02  residual(omega)=3.096e-02
Time = 279  residual(Ux)=3.058e-02  residual(Uy)=3.058e-02  residual(p)=3.058e-02  residual(k)=3.058e-02  residual(omega)=3.058e-02
Time = 280  residual(Ux)=3.020e-02  residual(Uy)=3.020e-02  residual(p)=3.020e-02  residual(k)=3.020e-02  residual(omega)=3.020e-02
Time = 281  residual(Ux)=2.982e-02  residual(Uy)=2.982e-02  residual(p)=2.982e-02  residual(k)=2.982e-02  residual(omega)=2.982e-02
Time = 282  residual(Ux)=2.945e-02  residual(Uy)=2.945e-02  residual(p)=2.945e-02  residual(k)=2.945e-02  residual(omega)=2.945e-02
Time = 283  residual(Ux)=2.909e-02  residual(Uy)=2.909e-02  residual(p)=2.909e-02  residual(k)=2.909e-02  residual(omega)=2.909e-02
Time = 284  residual(Ux)=2.872e-02  residual(Uy)=2.872e-02  residual(p)=2.872e-02  residual(k)=2.872e-02  residual(omega)=2.872e-02
Time = 285  residual(Ux)=2.837e-02  residual(Uy)=2.837e-02  residual(p)=2.837e-02  residual(k)=2.837e-02  residual(omega)=2.837e-02
Time = 286  residual(Ux)=2.802e-02  residual(Uy)=2.802e-02  residual(p)=2.802e-02  residual(k)=2.802e-02  residual(omega)=2.802e-02
Time = 287  residual(Ux)=2.767e-02  residual(Uy)=2.767e-02  residual(p)=2.767e-02  residual(k)=2.767e-02  residual(omega)=2.767e-02
Time = 288  residual(Ux)=2.732e-02  residual(Uy)=2.732e-02  residual(p)=2.732e-02  residual(k)=2.732e-02  residual(omega)=2.732e-02
Time = 289  residual(Ux)=2.698e-02  residual(Uy)=2.698e-02  residual(p)=2.698e-02  residual(k)=2.698e-02  residual(omega)=2.698e-02
Time = 290  residual(Ux)=2.665e-02  residual(Uy)=2.665e-02  residual(p)=2.665e-02  residual(k)=2.665e-02  residual(omega)=2.665e-02
Time = 291  residual(Ux)=2.632e-02  residual(Uy)=2.632e-02  residual(p)=2.632e-02  residual(k)=2.632e-02  residual(omega)=2.632e-02
Time = 292  residual(Ux)=2.599e-02  residual(Uy)=2.599e-02  residual(p)=2.599e-02  residual(k)=2.599e-02  residual(omega)=2.599e-02
Time = 293  residual(Ux)=2.567e-02  residual(Uy)=2.567e-02  residual(p)=2.567e-02  residual(k)=2.567e-02  residual(omega)=2.567e-02
Time = 294  residual(Ux)=2.535e-02  residual(Uy)=2.535e-02  residual(p)=2.535e-02  residual(k)=2.535e-02  residual(omega)=2.535e-02
Time = 295  residual(Ux)=2.503e-02  residual(Uy)=2.503e-02  residual(p)=2.503e-02  residual(k)=2.503e-02  residual(omega)=2.503e-02
Time = 296  residual(Ux)=2.472e-02  residual(Uy)=2.472e-02  residual(p)=2.472e-02  residual(k)=2.472e-02  residual(omega)=2.472e-02
Time = 297  residual(Ux)=2.442e-02  residual(Uy)=2.442e-02  residual(p)=2.442e-02  residual(k)=2.442e-02  residual(omega)=2.442e-02
Time = 298  residual(Ux)=2.411e-02  residual(Uy)=2.411e-02  residual(p)=2.411e-02  residual(k)=2.411e-02  residual(omega)=2.411e-02
Time = 299  residual(Ux)=2.381e-02  residual(Uy)=2.381e-02  residual(p)=2.381e-02  residual(k)=2.381e-02  residual(omega)=2.381e-02
Time = 300  residual(Ux)=2.352e-02  residual(Uy)=2.352e-02  residual(p)=2.352e-02  residual(k)=2.352e-02  residual(omega)=2.352e-02
Time = 301  residual(Ux)=2.323e-02  residual(Uy)=2.323e-02  residual(p)=2.323e-02  residual(k)=2.323e-02  residual(omega)=2.323e-02
Time = 302  residual(Ux)=2.294e-02  residual(Uy)=2.294e-02  residual(p)=2.294e-02  residual(k)=2.294e-02  residual(omega)=2.294e-02
Time = 303  residual(Ux)=2.265e-02  residual(Uy)=2.265e-02  residual(p)=2.265e-02  residual(k)=2.265e-02  residual(omega)=2.265e-02
Time = 304  residual(Ux)=2.237e-02  residual(Uy)=2.237e-02  residual(p)=2.237e-02  residual(k)=2.237e-02  residual(omega)=2.237e-02
Time = 305  residual(Ux)=2.209e-02  residual(Uy)=2.209e-02  residual(p)=2.209e-02  residual(k)=2.209e-02  residual(omega)=2.209e-02
Time = 306  residual(Ux)=2.182e-02  residual(Uy)=2.182e-02  residual(p)=2.182e-02  residual(k)=2.182e-02  residual(omega)=2.182e-02
Time = 307  residual(Ux)=2.155e-02  residual(Uy)=2.155e-02  residual(p)=2.155e-02  residual(k)=2.155e-02  residual(omega)=2.155e-02
Time = 308  residual(Ux)=2.128e-02  residual(Uy)=2.128e-02  residual(p)=2.128e-02  residual(k)=2.128e-02  residual(omega)=2.128e-02
Time = 309  residual(Ux)=2.102e-02  residual(Uy)=2.102e-02  residual(p)=2.102e-02  residual(k)=2.102e-02  residual(omega)=2.102e-02
Time = 310  residual(Ux)=2.075e-02  residual(Uy)=2.075e-02  residual(p)=2.075e-02  residual(k)=2.075e-02  residual(omega)=2.075e-02
Time = 311  residual(Ux)=2.050e-02  residual(Uy)=2.050e-02  residual(p)=2.050e-02  residual(k)=2.050e-02  residual(omega)=2.050e-02
Time = 312  residual(Ux)=2.024e-02  residual(Uy)=2.024e-02  residual(p)=2.024e-02  residual(k)=2.024e-02  residual(omega)=2.024e-02
Time = 313  residual(Ux)=1.999e-02  residual(Uy)=1.999e-02  residual(p)=1.999e-02  residual(k)=1.999e-02  residual(omega)=1.999e-02
Time = 314  residual(Ux)=1.974e-02  residual(Uy)=1.974e-02  residual(p)=1.974e-02  residual(k)=1.974e-02  residual(omega)=1.974e-02
Time = 315  residual(Ux)=1.950e-02  residual(Uy)=1.950e-02  residual(p)=1.950e-02  residual(k)=1.950e-02  residual(omega)=1.950e-02
Time = 316  residual(Ux)=1.925e-02  residual(Uy)=1.925e-02  residual(p)=1.925e-02  residual(k)=1.925e-02  residual(omega)=1.925e-02
Time = 317  residual(Ux)=1.902e-02  residual(Uy)=1.902e-02  residual(p)=1.902e-02  residual(k)=1.902e-02  residual(omega)=1.902e-02
Time = 318  residual(Ux)=1.878e-02  residual(Uy)=1.878e-02  residual(p)=1.878e-02  residual(k)=1.878e-02  residual(omega)=1.878e-02
Time = 319  residual(Ux)=1.855e-02  residual(Uy)=1.855e-02  residual(p)=1.855e-02  residual(k)=1.855e-02  residual(omega)=1.855e-02
Time = 320  residual(Ux)=1.832e-02  residual(Uy)=1.832e-02  residual(p)=1.832e-02  residual(k)=1.832e-02  residual(omega)=1.832e-02
Time = 321  residual(Ux)=1.809e-02  residual(Uy)=1.809e-02  residual(p)=1.809e-02  residual(k)=1.809e-02  residual(omega)=1.809e-02
Time = 322  residual(Ux)=1.786e-02  residual(Uy)=1.786e-02  residual(p)=1.786e-02  residual(k)=1.786e-02  residual(omega)=1.786e-02
Time = 323  residual(Ux)=1.764e-02  residual(Uy)=1.764e-02  residual(p)=1.764e-02  residual(k)=1.764e-02  residual(omega)=1.764e-02
Time = 324  residual(Ux)=1.742e-02  residual(Uy)=1.742e-02  residual(p)=1.742e-02  residual(k)=1.742e-02  residual(omega)=1.742e-02
Time = 325  residual(Ux)=1.721e-02  residual(Uy)=1.721e-02  residual(p)=1.721e-02  residual(k)=1.721e-02  residual(omega)=1.721e-02
Time = 326  residual(Ux)=1.699e-02  residual(Uy)=1.699e-02  residual(p)=1.699e-02  residual(k)=1.699e-02  residual(omega)=1.699e-02
Time = 327  residual(Ux)=1.678e-02  residual(Uy)=1.678e-02  residual(p)=1.678e-02  residual(k)=1.678e-02  residual(omega)=1.678e-02
Time = 328  residual(Ux)=1.657e-02  residual(Uy)=1.657e-02  residual(p)=1.657e-02  residual(k)=1.657e-02  residual(omega)=1.657e-02
Time = 329  residual(Ux)=1.637e-02  residual(Uy)=1.637e-02  residual(p)=1.637e-02  residual(k)=1.637e-02  residual(omega)=1.637e-02
Time = 330  residual(Ux)=1.616e-02  residual(Uy)=1.616e-02  residual(p)=1.616e-02  residual(k)=1.616e-02  residual(omega)=1.616e-02
Time = 331  residual(Ux)=1.596e-02  residual(Uy)=1.596e-02  residual(p)=1.596e-02  residual(k)=1.596e-02  residual(omega)=1.596e-02
Time = 332  residual(Ux)=1.576e-02  residual(Uy)=1.576e-02  residual(p)=1.576e-02  residual(k)=1.576e-02  residual(omega)=1.576e-02
Time = 333  residual(Ux)=1.557e-02  residual(Uy)=1.557e-02  residual(p)=1.557e-02  residual(k)=1.557e-02  residual(omega)=1.557e-02
Time = 334  residual(Ux)=1.538e-02  residual(Uy)=1.538e-02  residual(p)=1.538e-02  residual(k)=1.538e-02  residual(omega)=1.538e-02
Time = 335  residual(Ux)=1.518e-02  residual(Uy)=1.518e-02  residual(p)=1.518e-02  residual(k)=1.518e-02  residual(omega)=1.518e-02
Time = 336  residual(Ux)=1.500e-02  residual(Uy)=1.500e-02  residual(p)=1.500e-02  residual(k)=1.500e-02  residual(omega)=1.500e-02
Time = 337  residual(Ux)=1.481e-02  residual(Uy)=1.481e-02  residual(p)=1.481e-02  residual(k)=1.481e-02  residual(omega)=1.481e-02
Time = 338  residual(Ux)=1.463e-02  residual(Uy)=1.463e-02  residual(p)=1.463e-02  residual(k)=1.463e-02  residual(omega)=1.463e-02
Time = 339  residual(Ux)=1.444e-02  residual(Uy)=1.444e-02  residual(p)=1.444e-02  residual(k)=1.444e-02  residual(omega)=1.444e-02
Time = 340  residual(Ux)=1.426e-02  residual(Uy)=1.426e-02  residual(p)=1.426e-02  residual(k)=1.426e-02  residual(omega)=1.426e-02
Time = 341  residual(Ux)=1.409e-02  residual(Uy)=1.409e-02  residual(p)=1.409e-02  residual(k)=1.409e-02  residual(omega)=1.409e-02
Time = 342  residual(Ux)=1.391e-02  residual(Uy)=1.391e-02  residual(p)=1.391e-02  residual(k)=1.391e-02  residual(omega)=1.391e-02
Time = 343  residual(Ux)=1.374e-02  residual(Uy)=1.374e-02  residual(p)=1.374e-02  residual(k)=1.374e-02  residual(omega)=1.374e-02
Time = 344  residual(Ux)=1.357e-02  residual(Uy)=1.357e-02  residual(p)=1.357e-02  residual(k)=1.357e-02  residual(omega)=1.357e-02
Time = 345  residual(Ux)=1.340e-02  residual(Uy)=1.340e-02  residual(p)=1.340e-02  residual(k)=1.340e-02  residual(omega)=1.340e-02
Time = 346  residual(Ux)=1.323e-02  residual(Uy)=1.323e-02  residual(p)=1.323e-02  residual(k)=1.323e-02  residual(omega)=1.323e-02
Time = 347  residual(Ux)=1.307e-02  residual(Uy)=1.307e-02  residual(p)=1.307e-02  residual(k)=1.307e-02  residual(omega)=1.307e-02
Time = 348  residual(Ux)=1.291e-02  residual(Uy)=1.291e-02  residual(p)=1.291e-02  residual(k)=1.291e-02  residual(omega)=1.291e-02
Time = 349  residual(Ux)=1.275e-02  residual(Uy)=1.275e-02  residual(p)=1.275e-02  residual(k)=1.275e-02  residual(omega)=1.275e-02
Time = 350  residual(Ux)=1.259e-02  residual(Uy)=1.259e-02  residual(p)=1.259e-02  residual(k)=1.259e-02  residual(omega)=1.259e-02
Time = 351  residual(Ux)=1.243e-02  residual(Uy)=1.243e-02  residual(p)=1.243e-02  residual(k)=1.243e-02  residual(omega)=1.243e-02
Time = 352  residual(Ux)=1.228e-02  residual(Uy)=1.228e-02  residual(p)=1.228e-02  residual(k)=1.228e-02  residual(omega)=1.228e-02
Time = 353  residual(Ux)=1.212e-02  residual(Uy)=1.212e-02  residual(p)=1.212e-02  residual(k)=1.212e-02  residual(omega)=1.212e-02
Time = 354  residual(Ux)=1.197e-02  residual(Uy)=1.197e-02  residual(p)=1.197e-02  residual(k)=1.197e-02  residual(omega)=1.197e-02
Time = 355  residual(Ux)=1.183e-02  residual(Uy)=1.183e-02  residual(p)=1.183e-02  residual(k)=1.183e-02  residual(omega)=1.183e-02
Time = 356  residual(Ux)=1.168e-02  residual(Uy)=1.168e-02  residual(p)=1.168e-02  residual(k)=1.168e-02  residual(omega)=1.168e-02
Time = 357  residual(Ux)=1.153e-02  residual(Uy)=1.153e-02  residual(p)=1.153e-02  residual(k)=1.153e-02  residual(omega)=1.153e-02
Time = 358  residual(Ux)=1.139e-02  residual(Uy)=1.139e-02  residual(p)=1.139e-02  residual(k)=1.139e-02  residual(omega)=1.139e-02
Time = 359  residual(Ux)=1.125e-02  residual(Uy)=1.125e-02  residual(p)=1.125e-02  residual(k)=1.125e-02  residual(omega)=1.125e-02
Time = 360  residual(Ux)=1.111e-02  residual(Uy)=1.111e-02  residual(p)=1.111e-02  residual(k)=1.111e-02  residual(omega)=1.111e-02
Time = 361  residual(Ux)=1.097e-02  residual(Uy)=1.097e-02  residual(p)=1.097e-02  residual(k)=1.097e-02  residual(omega)=1.097e-02
Time = 362  residual(Ux)=1.083e-02  residual(Uy)=1.083e-02  residual(p)=1.083e-02  residual(k)=1.083e-02  residual(omega)=1.083e-02
Time = 363  residual(Ux)=1.070e-02  residual(Uy)=1.070e-02  residual(p)=1.070e-02  residual(k)=1.070e-02  residual(omega)=1.070e-02
